Unnamed: 0,English,Turkish
5287,horny,azgın
5288,judicial,yargısal
5289,rio,Rio
5290,hs,hs
5291,adjustment,ayarlama
5292,hero,kahraman
5293,integer,tam sayı
5294,treatments,tedaviler
5295,bachelor,üniversite mezunu
5296,attitude,davranış
5297,camcorders,kameralar
5298,engaged,nişanlı
5299,falling,düşen
5300,basics,temeller
5301,montreal,Montreal
5302,carpet,halı
5303,rv,karavan
5304,struct,yapı
5305,lenses,lensler
5306,binary,ikili
5307,genetics,genetik
5308,attended,katıldı
5309,difficulty,zorluk
5310,punk,punk
5311,collective,kolektif
5312,coalition,koalisyon
5313,pi,pi
5314,dropped,düşürüldü
5315,enrollment,kayıt
5316,duke,dük
5317,walter,Walter
5318,ai,yapay zeka
5319,pace,adımlamak
5320,besides,Ayrıca
5321,wage,maaş
5322,producers,üreticiler
5323,ot,ot
5324,collector,kolektör
5325,arc,yay
5326,hosts,ev sahipleri
5327,interfaces,arayüzler
5328,advertisers,reklam verenler
5329,moments,anlar
5330,atlas,Atlas
5331,strings,dizeler
5332,dawn,şafak
5333,representing,temsil eden
5334,observation,gözlem
5335,feels,hissediyor
5336,torture,işkence
5337,carl,Carl
5338,deleted,silindi
5339,coat,kaban
5340,mitchell,Mitchell
5341,mrs,bayan
5342,rica,Rika
5343,restoration,restorasyon
5344,convenience,kolaylık
5345,returning,geri dönüş
5346,ralph,ralph
5347,opposition,muhalefet
5348,container,konteyner
5349,yr,yıl
5350,defendant,sanık
5351,warner,uyarıcı
5352,confirmation,onay
5353,app,uygulama
5354,embedded,gömülü
5355,inkjet,mürekkep püskürtmeli
5356,supervisor,denetleyici
5357,wizard,sihirbaz
5358,corps,birlik
5359,actors,aktörler
5360,liver,karaciğer
5361,peripherals,çevre birimleri
5362,liable,sorumlu
5363,brochure,broşür
5364,morris,morris
5365,bestsellers,en çok satanlar
5366,petition,dilekçe
5367,eminem,eminem
5368,recall,hatırlamak
5369,antenna,anten
5370,picked,seçilmiş
5371,assumed,varsayıldı
5372,departure,kalkış
5373,minneapolis,minneapolis
5374,belief,inanç
5375,killing,öldürme
5376,bikini,bikini
5377,memphis,Memphis
5378,shoulder,omuz
5379,decor,dekor
5380,lookup,bakmak
5381,texts,metinler
5382,harvard,Harvard
5383,brokers,brokerlar
5384,roy,asil
5385,ion,iyon
5386,diameter,çap
5387,ottawa,Ottawa
5388,doll,oyuncak bebek
5389,ic,ic
5390,podcast,podcast
5391,tit,baştankara
5392,seasons,mevsimler
5393,peru,Peru
5394,interactions,etkileşimler
5395,refine,rafine etmek
5396,bidder,teklif veren
5397,singer,şarkıcı
5398,evans,Evans
5399,herald,haberci
5400,literacy,okuryazarlık
5401,fails,başarısız
5402,aging,yaşlanma
5403,nike,Nike
5404,intervention,araya girmek
5405,pissing,işeme
5406,fed,beslenen
5407,plugin,eklenti
5408,attraction,cazibe
5409,diving,dalış
5410,invite,davet etmek
5411,modification,değişiklik
5412,alice,Alice
5413,latinas,Latinler
5414,suppose,sanmak
5415,customized,özelleştirilmiş
5416,reed,kamış
5417,involve,içermek
5418,moderate,ılıman
5419,terror,terör
5420,younger,daha genç
5421,thirty,otuz
5422,mice,fareler
5423,opposite,zıt
5424,understood,anlaşıldı
5425,rapidly,hızlıca
5426,dealtime,anlaşma zamanı
5427,ban,yasak
5428,temp,geçici
5429,intro,giriş
5430,mercedes,mersedes
5431,zus,zus
5432,assurance,güvence
5433,fisting,yumruklama
5434,clerk,memur
5435,happening,gerçekleşiyor
5436,vast,büyüklük
5437,mills,değirmenler
5438,outline,ana hatlar
5439,amendments,değişiklikler
5440,tramadol,tramadol
5441,holland,Hollanda
5442,receives,alır
5443,jeans,kot
5444,metropolitan,metropol
5445,compilation,derleme
5446,verification,doğrulama
5447,fonts,yazı tipleri
5448,ent,ent
5449,odd,garip
5450,wrap,dürüm
5451,refers,atıfta bulunur
5452,mood,mod
5453,favor,iyilik
5454,veterans,gaziler
5455,quiz,sınav
5456,mx,mx
5457,sigma,sigma
5458,gr,gr
5459,attractive,çekici
5460,xhtml,xhtml
5461,occasion,fırsat
5462,recordings,kayıtlar
5463,jefferson,Jefferson
5464,victim,kurban
5465,demands,talepler
5466,sleeping,uyku
5467,careful,dikkatli olmak
5468,ext,ext
5469,beam,ışın
5470,gardening,bahçe işleri
5471,obligations,yükümlülükler
5472,arrive,varmak
5473,orchestra,orkestra
5474,sunset,gün batımı
5475,tracked,izlendi
5476,moreover,Dahası
5477,minimal,asgari
5478,polyphonic,polifonik
5479,lottery,piyango
5480,tops,üstler
5481,framed,çerçeveli
5482,aside,bir kenara
5483,outsourcing,dış kaynak kullanımı
5484,licence,lisans
5485,adjustable,ayarlanabilir
5486,allocation,paylaştırma
5487,michelle,Michelle
5488,essay,makale
5489,discipline,disiplin
5490,amy,Amy
5491,ts,ts
5492,demonstrated,gösterildi
5493,dialogue,diyalog
5494,identifying,tanımlama
5495,alphabetical,alfabetik
5496,camps,kamplar
5497,declared,ilan edildi
5498,dispatched,sevk edilen
5499,aaron,Harun
5500,handheld,el tipi
5501,trace,iz
5502,disposal,imha etmek
5503,shut,Kapatmak
5504,florists,çiçekçiler
5505,packs,paketler
5506,ge,ge
5507,installing,kurulum
5508,switches,anahtarlar
5509,romania,Romanya
5510,voluntary,gönüllü
5511,ncaa,ncaa
5512,thou,sen
5513,consult,danışmak
5514,phd,doktora
5515,greatly,büyük ölçüde
5516,blogging,bloglama
5517,mask,maske
5518,cycling,bisikletçilik
5519,midnight,gece yarısı
5520,ng,ng
5521,commonly,genellikle
5522,pe,beden
5523,photographer,fotoğrafçı
5524,inform,bilgi vermek
5525,turkish,Türkçe
5526,coal,kömür
5527,cry,ağlamak
5528,messaging,mesajlaşma
5529,pentium,pentium
5530,quantum,kuantum
5531,murray,Murray
5532,intent,niyet
5533,tt,tt
5534,zoo,hayvanat bahçesi
5535,largely,büyük ölçüde
5536,pleasant,güzel
5537,announce,duyurmak
5538,constructed,inşa edilmiş
5539,additions,eklemeler
5540,requiring,gerektiren
5541,spoke,konuştu
5542,aka,diğer adıyla
5543,arrow,ok
5544,engagement,nişanlanmak
5545,sampling,örnekleme
5546,rough,kaba 
5547,weird,garip
5548,tee,tişört
5549,refinance,yeniden finansman
5550,lion,aslan
5551,inspired,esinlenilmiş
5552,holes,delikler
5553,weddings,düğünler
5554,blade,bıçak
5555,suddenly,Birden
5556,oxygen,oksijen
5557,cookie,kurabiye
5558,meals,yemekler
5559,canyon,kanyon
5560,goto,git
5561,meters,metre
5562,merely,sadece
5563,calendars,takvimler
5564,arrangement,ayarlama
5565,conclusions,sonuçlar
5566,passes,geçer
5567,bibliography,bibliyografya
5568,pointer,işaretçi
5569,compatibility,uyumluluk
5570,stretch,uzatmak
5571,durham,Durham
5572,furthermore,üstelik
5573,permits,izinler
5574,cooperative,kooperatif
5575,muslim,Müslüman
5576,xl,xl
5577,neil,Neil
5578,sleeve,elbise kolu
5579,netscape,netscape
5580,cleaner,temizleyici
5581,cricket,kriket
5582,beef,biftek
5583,feeding,besleme
5584,stroke,felç
5585,township,ilçe
5586,rankings,sıralamalar
5587,measuring,ölçme
5588,cad,cad
5589,hats,şapkalar
5590,robin,kızılgerdan
5591,robinson,Robinson
5592,jacksonville,Jacksonville
5593,strap,kayış
5594,headquarters,merkez
5595,sharon,şaron
5596,crowd,kalabalık
5597,tcp,tcp
5598,transfers,transferler
5599,surf,sörf
5600,olympic,Olimpiyat
5601,transformation,dönüşüm
5602,remained,kaldı
5603,attachments,ekler
5604,dv,çift
5605,dir,yönetmen
5606,entities,varlıklar
5607,customs,gümrük
5608,administrators,yöneticiler
5609,personality,kişilik
5610,rainbow,gökkuşağı
5611,hook,kanca
5612,roulette,rulet
5613,decline,reddetmek
5614,gloves,eldivenler
5615,israeli,İsrailli
5616,medicare,Medicare
5617,cord,kordon
5618,skiing,kayak yapma
5619,cloud,bulut
5620,facilitate,kolaylaştırmak
5621,subscriber,abone
5622,valve,vana
5623,val,değer
5624,hewlett,hewlett
5625,explains,açıklıyor
5626,proceed,ilerlemek
5627,flickr,flickr
5628,feelings,duygular
5629,knife,bıçak
5630,jamaica,Jamaika
5631,priorities,öncelikler
5632,shelf,raf
5633,bookstore,kitapçı
5634,timing,zamanlama
5635,liked,beğenildi
5636,parenting,ebeveynlik
5637,adopt,evlat edinmek
5638,denied,reddedildi
5639,fotos,fotoğraflar
5640,incredible,inanılmaz
5641,britney,Britney
5642,freeware,ücretsiz yazılım
5643,fucked,becerildi
5644,donation,bağış
5645,outer,dış
5646,crop,mahsul
5647,deaths,ölümler
5648,rivers,nehirler
5649,commonwealth,İngiliz Milletler Topluluğu
5650,pharmaceutical,ilaç
5651,manhattan,Manhattan
5652,tales,hikayeler
5653,katrina,Katrina
5654,workforce,iş gücü
5655,islam,İslâm
5656,nodes,düğümler
5657,tu,sen
5658,fy,fy
5659,thumbs,başparmaklar
5660,seeds,tohumlar
5661,cited,alıntılandı
5662,lite,hafif
5663,ghz,ghz
5664,hub,merkez
5665,targeted,hedeflenen
5666,organizational,örgütsel
5667,skype,skype
5668,realized,gerçekleştirilmiş
5669,twelve,on iki
5670,founder,kurucu
5671,decade,on yıl
5672,gamecube,oyun küpü
5673,rr,rr
5674,dispute,anlaşmazlık
5675,portuguese,Portekizce
5676,tired,yorgun
5677,titten,meme
5678,adverse,olumsuz
5679,everywhere,her yer
5680,excerpt,alıntı
5681,eng,ingilizce
5682,steam,buhar
5683,discharge,deşarj
5684,ef,ef
5685,drinks,içecekler
5686,ace,as
5687,voices,sesler
5688,acute,akut
5689,halloween,Cadılar Bayramı
5690,climbing,tırmanma
5691,stood,durmak
5692,sing,şarkı söylemek
5693,tons,tonlarca
5694,perfume,parfüm
5695,carol,ilahi
5696,honest,dürüst
5697,albany,Albany'li
5698,hazardous,tehlikeli
5699,restore,eski haline getirmek
5700,stack,yığın
5701,methodology,metodoloji
5702,somebody,birisi
5703,sue,dava açmak
5704,ep,bölüm
5705,housewares,ev eşyaları
5706,reputation,itibar
5707,resistant,dayanıklı
5708,democrats,demokratlar
5709,recycling,geri dönüşüm
5710,hang,asmak
5711,gbp,GBP
5712,curve,eğri
5713,creator,yaratıcı
5714,amber,kehribar
5715,qualifications,nitelikler
5716,museums,müzeler
5717,coding,kodlama
5718,slideshow,slayt gösterisi
5719,tracker,takipçi
5720,variation,varyasyon
5721,passage,geçiş
5722,transferred,transfer edildi
5723,trunk,gövde
5724,hiking,doğa yürüyüşü
5725,lb,1 pound = 0.45 kg
5726,damn,lanet etmek
5727,pierre,pierre
5728,jelsoft,jel yumuşak
5729,headset,kulaklık
5730,photograph,fotoğraf
5731,oakland,Oakland
5732,colombia,Kolombiya
5733,waves,dalgalar
5734,camel,deve
5735,distributor,distribütör
5736,lamps,lambalar
5737,underlying,altta yatan
5738,hood,kapüşon
5739,wrestling,güreş
5740,suicide,intihar
5741,archived,arşivlendi
5742,photoshop,Photoshop
5743,jp,jp
5744,chi,chi
5745,bt,bt
5746,arabia,Arabistan
5747,gathering,toplanma
5748,projection,projeksiyon
5749,juice,meyve suyu
5750,chase,takip etmek
5751,mathematical,matematiksel
5752,logical,mantıksal
5753,sauce,sos
5754,fame,şöhret
5755,extract,çıkarmak
5756,specialized,uzmanlaşmış
5757,diagnostic,tanısal
5758,panama,Panama
5759,indianapolis,Indianapolis
5760,af,af
5761,payable,ödenecek
5762,corporations,şirketler
5763,courtesy,nezaket
5764,criticism,eleştiri
5765,automobile,otomobil
5766,confidential,gizli
5767,rfc,rfc
5768,statutory,yasal
5769,accommodations,konaklama
5770,athens,Atina
5771,northeast,kuzeydoğu
5772,downloaded,indirildi
5773,judges,hakimler
5774,sl,sl
5775,seo,SEO
5776,retired,emekli
5777,isp,internet servis sağlayıcısı
5778,remarks,notlar
5779,detected,saptanmış
5780,decades,on yıllar
5781,paintings,resimler
5782,walked,yürüdü
5783,arising,ortaya çıkan
5784,nissan,Nissan
5785,bracelet,bileklik
5786,ins,içinde
5787,eggs,yumurtalar
5788,juvenile,genç
5789,injection,enjeksiyon
5790,yorkshire,Yorkshire
5791,populations,nüfuslar
5792,protective,koruyucu
5793,afraid,korkmuş
5794,acoustic,akustik
5795,railway,demiryolu
5796,cassette,kaset
5797,initially,ilk olarak
5798,indicator,gösterge
5799,pointed,sivri
5800,hb,hb
5801,jpg,jpg
5802,causing,neden olan
5803,mistake,hata
5804,norton,norton
5805,locked,kilitli
5806,eliminate,elemek
5807,tc,tc
5808,fusion,füzyon
5809,mineral,mineral
5810,sunglasses,güneş gözlüğü
5811,ruby,yakut
5812,steering,direksiyon
5813,beads,boncuklar
5814,fortune,talih
5815,preference,tercih
5816,canvas,tuval
5817,threshold,eşik
5818,parish,cemaat
5819,claimed,iddia edildi
5820,screens,ekranlar
5821,cemetery,mezarlık
5822,planner,planlayıcı
5823,croatia,Hırvatistan
5824,flows,akışlar
5825,stadium,stadyum
5826,venezuela,Venezuela
5827,exploration,keşif
5828,mins,dakika
5829,fewer,daha az
5830,sequences,diziler
5831,coupon,kupon
5832,nurses,hemşireler
5833,ssl,ssl
5834,stem,kök
5835,proxy,vekil
5836,gangbang,toplu tecavüz
5837,astronomy,astronomi
5838,lanka,Lanka
5839,opt,tercih etmek
5840,edwards,edwards
5841,drew,çizdi
5842,contests,yarışmalar
5843,flu,nezle
5844,translate,tercüme etmek
5845,announces,duyurur
5846,mlb,mlb
5847,costume,kostüm
5848,tagged,etiketli
5849,berkeley,Berkeley
5850,voted,oylandı
5851,killer,katil
5852,bikes,bisikletler
5853,gates,kapılar
5854,adjusted,ayarlanmış
5855,rap,rap
5856,tune,melodi
5857,bishop,piskopos
5858,pulled,çekildi
5859,corn,Mısır
5860,gp,pratisyen hekim
5861,shaped,şekillendirilmiş
5862,compression,sıkıştırma
5863,seasonal,mevsimsel
5864,establishing,kurmak
5865,farmer,çiftçi
5866,counters,sayaçlar
5867,puts,koyar
5868,constitutional,anayasal
5869,grew,büyüdü
5870,perfectly,mükemmel bir şekilde
5871,tin,kalay
5872,slave,köle
5873,instantly,aniden
5874,cultures,kültürler
5875,norfolk,Norfolk
5876,coaching,koçluk
5877,examined,incelendi
5878,trek,yürüyüş
5879,encoding,kodlama
5880,litigation,dava
5881,submissions,gönderimler
5882,oem,OEM
5883,heroes,kahramanlar
5884,painted,boyalı
5885,lycos,lycos
5886,ir,ir
5887,zdnet,zdnet
5888,broadcasting,yayıncılık
5889,horizontal,yatay
5890,artwork,sanat eseri
5891,cosmetic,kozmetik
5892,resulted,sonuçlanan
5893,portrait,portre
5894,terrorist,terörist
5895,informational,bilgilendirici
5896,ethical,etik
5897,carriers,taşıyıcılar
5898,ecommerce,e-ticaret
5899,mobility,hareketlilik
5900,floral,çiçek
5901,builders,inşaatçılar
5902,ties,bağlar
5903,struggle,çabalamak
5904,schemes,planlar
5905,suffering,cefa
5906,neutral,doğal
5907,fisher,balıkçı
5908,rat,fare
5909,spears,mızraklar
5910,prospective,olası
5911,dildos,yapay penisler
5912,bedding,yatak takımı
5913,ultimately,sonuçta
5914,joining,katılmak
5915,heading,başlık
5916,equally,eşit olarak
5917,artificial,yapay
5918,bearing,yatak
5919,spectacular,muhteşem
5920,coordination,koordinasyon
5921,connector,bağlayıcı
5922,brad,Brad
5923,combo,kombo
5924,seniors,yaşlılar
5925,worlds,dünyalar
5926,guilty,suçlu
5927,affiliated,bağlı
5928,activation,aktivasyon
5929,naturally,doğal olarak
5930,haven,cennet
5931,tablet,tablet
5932,jury,jüri
5933,dos,yapılması gerekenler
5934,tail,kuyruk
5935,subscribers,aboneler
5936,charm,cazibe
5937,lawn,çim
5938,violent,şiddetli
5939,mitsubishi,Mitsubishi
5940,underwear,iç çamaşırı
5941,basin,havza
5942,soup,çorba
5943,potentially,potansiyel olarak
5944,ranch,çiftlik
5945,constraints,kısıtlamalar
5946,crossing,geçiş
5947,inclusive,dahil
5948,dimensional,boyutlu
5949,cottage,kır evi
5950,drunk,sarhoş
5951,considerable,hatırı sayılır
5952,crimes,suçlar
5953,resolved,çözüldü
5954,mozilla,Mozilla
5955,byte,bayt
5956,toner,toner
5957,nose,burun
5958,latex,lateks
5959,branches,dallar
5960,anymore,artık değil
5961,oclc,oclc
5962,delhi,Delhi
5963,holdings,holdingler
5964,alien,yabancı
5965,locator,konum belirleyici
5966,selecting,seçme
5967,processors,işlemciler
5968,pantyhose,külotlu çorap
5969,plc,plc
5970,broke,parasız
5971,nepal,Nepal
5972,zimbabwe,Zimbabve
5973,difficulties,zorluklar
5974,juan,Juan
5975,complexity,karmaşıklık
5976,msg,mesaj
5977,constantly,sürekli
5978,browsing,göz atma
5979,resolve,çözmek
5980,barcelona,Barselona
5981,presidential,başkanlık
5982,documentary,belgesel
5983,cod,morina
5984,territories,bölgeler
5985,melissa,melisa
5986,moscow,Moskova
5987,thesis,tez
5988,thru,içinden
5989,jews,Yahudiler
5990,nylon,naylon
5991,palestinian,Filistin
5992,discs,diskler
5993,rocky,kayalık
5994,bargains,pazarlıklar
5995,frequent,sık
5996,trim,kırpmak
5997,nigeria,Nijerya
5998,ceiling,tavan
5999,pixels,pikseller
6000,ensuring,sağlanması
6001,hispanic,İspanyol
6002,cv,Özgeçmiş
6003,cb,cb
6004,legislature,yasama organı
6005,hospitality,misafirperverlik
6006,gen,nesil
6007,anybody,herhangi biri
6008,procurement,tedarik
6009,diamonds,elmaslar
6010,espn,espn
6011,fleet,filo
6012,untitled,başlıksız
6013,bunch,demet
6014,totals,toplamlar
6015,marriott,Marriott
6016,singing,şarkı söylemek
6017,theoretical,teorik
6018,afford,parası yetmek
6019,exercises,egzersizler
6020,starring,başrolde
6021,referral,yönlendirme
6022,nhl,NHL
6023,surveillance,gözetim
6024,optimal,en iyi
6025,quit,çıkış yapmak
6026,distinct,belirgin
6027,protocols,protokoller
6028,lung,akciğer
6029,highlight,vurgulamak
6030,substitute,yerine geçmek
6031,inclusion,dahil etme
6032,hopefully,umutla
6033,brilliant,muhteşem
6034,turner,tornacı
6035,sucking,emme
6036,cents,sent
6037,reuters,Reuters
6038,ti,ti
6039,fc,fc
6040,gel,jel
6041,todd,Todd
6042,spoken,konuşulan
6043,omega,omega
6044,evaluated,değerlendirildi
6045,stayed,kaldı
6046,civic,medeni
6047,assignments,atamalar
6048,fw,ileri
6049,manuals,kılavuzlar
6050,doug,doug
6051,sees,görür
6052,termination,sonlandırma
6053,watched,izlendi
6054,saver,tasarruf sahibi
6055,thereof,bunların
6056,grill,ızgara
6057,households,haneler
6058,gs,gs
6059,redeem,kurtarmak
6060,rogers,Rogers
6061,grain,tahıl
6062,aaa,aaa
6063,authentic,otantik
6064,regime,rejim
6065,wanna,istiyorum
6066,wishes,dilekler
6067,bull,boğa
6068,montgomery,Montgomery
6069,architectural,mimari
6070,louisville,Louisville
6071,depend,bağlı olmak
6072,differ,farklı olmak
6073,macintosh,Macintosh
6074,movements,hareketler
6075,ranging,değişen
6076,monica,Monica
6077,repairs,onarımlar
6078,breath,nefes
6079,amenities,olanaklar
6080,virtually,sanal olarak
6081,cole,lahana
6082,mart,Mart
6083,candle,mum
6084,hanging,asılı
6085,colored,renkli
6086,authorization,yetkilendirme
6087,tale,masal
6088,verified,doğrulandı
6089,lynn,lynn
6090,formerly,eskiden
6091,projector,projektör
6092,bp,kan basıncı
6093,situated,yerleşmiş
6094,comparative,karşılaştırmalı
6095,std,standart
6096,seeks,arar
6097,herbal,bitkisel
6098,loving,sevgi dolu
6099,strictly,kesinlikle
6100,routing,yönlendirme
6101,docs,belgeler
6102,stanley,stanley
6103,psychological,psikolojik
6104,surprised,şaşırmış
6105,retailer,perakendeci
6106,vitamins,vitaminler
6107,elegant,zarif
6108,gains,kazançlar
6109,renewal,yenileme
6110,vid,video
6111,genealogy,soyağacı
6112,opposed,karşıt
6113,deemed,kabul edildi
6114,scoring,puanlama
6115,expenditure,harcama
6116,panties,külot
6117,brooklyn,Brooklyn
6118,liverpool,Liverpool
6119,sisters,kız kardeşler
6120,critics,eleştirmenler
6121,connectivity,bağlantı
6122,spots,lekeler
6123,oo,oo
6124,algorithms,algoritmalar
6125,hacker,hacker
6126,madrid,Madrid
6127,similarly,benzer şekilde
6128,margin,marj
6129,coin,madeni para
6130,bbw,şişman kadın
6131,solely,sadece
6132,fake,sahte
6133,salon,salon
6134,collaborative,işbirlikçi
6135,norman,Norman
6136,fda,Gıda ve İlaç Dairesi
6137,excluding,hariç
6138,turbo,turbo
6139,headed,başlı
6140,voters,seçmenler
6141,cure,tedavi
6142,madonna,madonna
6143,commander,komutan
6144,arch,kemer
6145,ni,ni
6146,murphy,murphy
6147,thinks,düşünüyor
6148,thats,bu
6149,suggestion,telkin
6150,hdtv,hdtv
6151,soldier,asker
6152,phillips,Phillips
6153,asin,asin
6154,aimed,amaçlanan
6155,justin,Justin
6156,bomb,bomba
6157,harm,zarar
6158,interval,aralık
6159,mirrors,aynalar
6160,spotlight,spot ışığı
6161,tricks,hileler
6162,reset,sıfırlama
6163,brush,fırçalamak
6164,investigate,araştırmak
6165,thy,senin
6166,expansys,genişleme
6167,panels,paneller
6168,repeated,tekrarlandı
6169,assault,saldırı
6170,connecting,bağlanıyor
6171,spare,kıyamamak
6172,logistics,lojistik
6173,deer,geyik
6174,kodak,kodak
6175,tongue,dil
6176,bowling,bowling
6177,tri,üçlü
6178,danish,Danimarkalı
6179,pal,dostum
6180,monkey,maymun
6181,proportion,oran
6182,filename,dosya adı
6183,skirt,etek
6184,florence,Floransa
6185,invest,yatırım
6186,honey,Bal
6187,um,ee
6188,analyses,analizler
6189,drawings,çizimler
6190,significance,önem
6191,scenario,senaryo
6192,ye,evet
6193,fs,fs
6194,lovers,aşıklar
6195,atomic,atomik
6196,approx,yaklaşık
6197,symposium,sempozyum
6198,arabic,Arapça
6199,gauge,ölçü
6200,essentials,temeller
6201,junction,kavşak
6202,protecting,koruma
6203,nn,nn
6204,faced,yüzlü
6205,mat,mat
6206,rachel,rachel
6207,solving,çözme
6208,transmitted,iletilen
6209,weekends,hafta sonları
6210,screenshots,ekran görüntüleri
6211,produces,üretir
6212,oven,fırın
6213,ted,ted
6214,intensive,yoğun
6215,chains,zincirler
6216,kingston,Kingston
6217,sixth,altıncı
6218,engage,angaje etmek
6219,deviant,sapkın
6220,noon,öğlen
6221,switching,geçiş
6222,quoted,alıntılandı
6223,adapters,adaptörler
6224,correspondence,yazışma
6225,farms,çiftlikler
6226,imports,ithalat
6227,supervision,nezaret
6228,cheat,aldatmak
6229,bronze,bronz
6230,expenditures,harcamalar
6231,sandy,kumlu
6232,separation,ayrılma
6233,testimony,tanıklık
6234,suspect,şüphelenmek
6235,celebrities,ünlüler
6236,macro,makro
6237,sender,gönderen
6238,mandatory,zorunlu
6239,boundaries,sınırlar
6240,crucial,hayati
6241,syndication,sendikasyon
6242,gym,spor salonu
6243,celebration,kutlama
6244,kde,kde
6245,adjacent,bitişik
6246,filtering,filtreleme
6247,tuition,öğrenim ücreti
6248,spouse,eş
6249,exotic,egzotik
6250,viewer,izleyici
6251,signup,üye olmak
6252,threats,tehditler
6253,luxembourg,Lüksemburg
6254,puzzles,bulmacalar
6255,reaching,ulaşan
6256,vb,vb
6257,damaged,hasarlı
6258,cams,kameralar
6259,receptor,alıcı
6260,piss,işemek
6261,laugh,gülmek
6262,joel,joel
6263,surgical,cerrahi
6264,destroy,tahrip etmek
6265,citation,alıntı
6266,pitch,saha
6267,autos,otomobiller
6268,yo,sen
6269,premises,tesis
6270,perry,Perry
6271,proved,kanıtlandı
6272,offensive,saldırgan
6273,imperial,imparatorluk
6274,dozen,düzine
6275,benjamin,benjamin
6276,deployment,dağıtım
6277,teeth,dişler
6278,cloth,bez
6279,studying,çalışmak
6280,colleagues,iş arkadaşları
6281,stamp,damga vurmak
6282,lotus,lotus
6283,salmon,somon
6284,olympus,Olimpos
6285,separated,ayrılmış
6286,proc,işlem
6287,cargo,kargo
6288,tan,bronz
6289,directive,direktif
6290,fx,fx
6291,salem,Salem
6292,mate,mat
6293,dl,dl
6294,starter,başlangıç
6295,upgrades,yükseltmeler
6296,likes,beğeniler
6297,butter,tereyağı
6298,pepper,biber
6299,weapon,silah
6300,luggage,bagaj
6301,burden,yük
6302,chef,şef
6303,tapes,bantlar
6304,zones,bölgeler
6305,races,yarışlar
6306,isle,ada
6307,stylish,şık
6308,slim,ince
6309,maple,akçaağaç
6310,luke,Luke
6311,grocery,bakkal
6312,offshore,açık deniz
6313,governing,yönetim
6314,retailers,perakendeciler
6315,depot,depo
6316,kenneth,Kenneth
6317,comp,comp
6318,alt,alt
6319,pie,turta
6320,blend,karışım
6321,harrison,harrison
6322,ls,ls
6323,julie,Julie
6324,occasionally,ara sıra
6325,cbs,cbs
6326,attending,katılıyor
6327,emission,emisyon
6328,pete,Pete
6329,spec,şartname
6330,finest,en iyi
6331,realty,emlak
6332,janet,Janet
6333,bow,yay
6334,penn,penn
6335,recruiting,işe alım
6336,apparent,belirgin
6337,instructional,öğretici
6338,phpbb,phpbb
6339,autumn,sonbahar
6340,traveling,seyahat
6341,probe,soruşturma
6342,midi,midi
6343,permissions,izinler
6344,biotechnology,biyoteknoloji
6345,toilet,tuvalet
6346,ranked,sıralanmış
6347,jackets,ceketler
6348,routes,rotalar
6349,packed,paketlenmiş
6350,excited,heyecanlı
6351,outreach,ulaşım
6352,helen,Helen
6353,mounting,montaj
6354,recover,iyileşmek
6355,tied,bağlı
6356,lopez,lopez
6357,balanced,dengeli
6358,prescribed,reçeteli
6359,catherine,Catherine
6360,timely,zamanında
6361,talked,konuştu
6362,upskirts,etek altı
6363,debug,hata ayıklama
6364,delayed,gecikmiş
6365,chuck,Chuck
6366,reproduced,yeniden üretildi
6367,hon,tatlım
6368,dale,vadi
6369,explicit,açık
6370,calculation,hesaplama
6371,villas,villalar
6372,ebook,e-kitap
6373,consolidated,konsolide edilmiş
6374,boob,meme
6375,exclude,hariç tutmak
6376,peeing,işeme
6377,occasions,durumlar
6378,brooks,dereler
6379,equations,denklemler
6380,newton,Newton
6381,oils,yağlar
6382,sept,Eylül
6383,exceptional,olağanüstü
6384,anxiety,endişe
6385,bingo,Bingo
6386,whilst,iken
6387,spatial,mekansal
6388,respondents,katılımcılar
6389,unto,... kadar
6390,lt,lt
6391,ceramic,seramik
6392,prompt,çabuk
6393,precious,değerli
6394,minds,zihinler
6395,annually,yıllık
6396,considerations,düşünceler
6397,scanners,tarayıcılar
6398,atm,ATM
6399,xanax,xanax
6400,eq,denklem
6401,pays,öder
6402,cox,dümenci
6403,fingers,parmaklar
6404,sunny,güneşli
6405,ebooks,e-kitaplar
6406,delivers,teslim eder
6407,je,ben
6408,queensland,Queensland
6409,necklace,kolye
6410,musicians,müzisyenler
6411,leeds,Leeds
6412,composite,bileşik
6413,unavailable,mevcut değil
6414,cedar,sedir
6415,arranged,düzenlenmiş
6416,lang,dil
6417,theaters,tiyatrolar
6418,advocacy,savunuculuk
6419,raleigh,Raleigh'li
6420,stud,aygır
6421,fold,katlamak
6422,essentially,esasen
6423,designing,tasarlama
6424,threaded,dişli
6425,uv,uv
6426,qualify,hak kazanmak
6427,fingering,parmaklama
6428,blair,blair
6429,hopes,umutlar
6430,assessments,değerlendirmeler
6431,cms,cms
6432,mason,mason
6433,diagram,diyagram
6434,burns,yanıklar
6435,pumps,pompalar
6436,slut,sürtük
6437,ejaculation,boşalma
6438,footwear,ayakkabı
6439,sg,sg
6440,vic,kurban
6441,beijing,Pekin
6442,peoples,halklar
6443,victor,galip
6444,mario,mario
6445,pos,poz
6446,attach,eklemek
6447,licenses,lisanslar
6448,utils,yardımcı programlar
6449,removing,kaldırarak
6450,advised,tavsiye edildi
6451,brunswick,Brunswick
6452,spider,örümcek
6453,phys,fiziksel
